Step,max-f,min-f
42,0.035758354,0.033973984
167,0.03526202052,0.03339515566
229,0.034589578989599995,0.0331359788068
234,0.03406528648980799,0.032668988030664
273,0.03524768106001183,0.03565857233005072
474,0.036931204458811595,0.039658900723449714
536,0.037096717189635364,0.04155816822898072
579,0.04065523144584266,0.04582001552440111
586,0.04009806189692581,0.046977455853913094
634,0.04117548085898729,0.051425022216834836
647,0.041887464081807546,0.052415510792498135
714,0.0452178577801714,0.05172507583664817
808,0.045325090244567975,0.05455526109991521
1014,0.044499331579676615,0.05391330653791691
1333,0.044827106128083084,0.058184131707158575
1337,0.04496158778552142,0.0580189661930154
1385,0.047503649269810995,0.059247861709155095
1392,0.05032633244441478,0.05990223557497199
1436,0.051547714015526484,0.06274009706347256
1691,0.05391752657521595,0.06845120532220311
1734,0.05530648468371163,0.06866195135575906
1737,0.0568524365300374,0.07089983946864388
1877,0.058651769799436655,0.071396735179271
1917,0.05939914270344793,0.07167183719568558
2036,0.06042511476937897,0.07123620881177187
2199,0.06313962509399139,0.07187034171553643
2307,0.06385264371211156,0.0742079077412257
2389,0.06647124373786933,0.07615041108640118
2485,0.07062094006311195,0.07618369846467316
2486,0.07282188118184972,0.07650911643537969
2498,0.07217727089821273,0.0761450900466721
2685,0.07378661638024848,0.07642409238573866
3038,0.07415717621264352,0.07879662545802389
3230,0.07711450122839066,0.08005219728886341
3246,0.07836072658382286,0.07930761412308614
3305,0.07861049543214639,0.08214356828062441
3618,0.08273412326350346,0.08252177567501193
3620,0.08366574473823339,0.0829274917815117
3670,0.08747567808346872,0.08551073986588145
3741,0.08870870226179935,0.08460438012856382
3814,0.08901107565656337,0.08840345030599255
3821,0.0889889175834321,0.08731963599987269
3956,0.08978709973176345,0.08771941401987525
4317,0.08948553263712819,0.08823068321947775
4400,0.08956864372438562,0.0905235591950882
4492,0.09095201628989791,0.09082878439118644
4509,0.09347634198409994,0.09098055732336272
4676,0.09602320102441794,0.08998444617689547
4788,0.09548056304392959,0.08995764347335757
4971,0.094844549263051,0.08915662044389042
5134,0.09430755687778998,0.0888990692150126
5345,0.09437731816023417,0.09013679169071234
5359,0.0971097248370295,0.09007245915689809
5723,0.0963095418402889,0.08977034767376013
5864,0.10006785432348313,0.09217876482028493
5907,0.09890439079701346,0.09315249992387924
5990,0.10178779788107319,0.09506242960540165
6200,0.10570659660345172,0.09540586839329361
6219,0.10676016811138268,0.09473121728542773
6289,0.10736087038915504,0.09488270953971917
6574,0.10718557520137194,0.09612547566892479
6699,0.1072970736773445,0.0976384163555463
6711,0.10895755574379762,0.09854599862843538
6854,0.10816876552892166,0.10005939125586667
6966,0.10775262005834323,0.10411853371074935
7155,0.10944659273717636,0.10461551589653437
7382,0.11149983312243283,0.10754094451860367
7460,0.11520590475998417,0.10921507400823159
7463,0.11670581946478449,0.10759087950806696
7511,0.11890727233548881,0.10856197395790564
7798,0.12086104762877904,0.11064340965874751
7833,0.12033699805620346,0.11035539240557256
7991,0.12122824061507939,0.1096016880974611
8066,0.1233667052027778,0.10890588827551188
8180,0.12598344643872225,0.11018386477000164
8221,0.12595641006994782,0.11163917237460161
8363,0.12536947624854886,0.11422277682710959
8498,0.12554175180357788,0.1163853898705674
8508,0.1257412305675063,0.11801905355315606
8601,0.12721750317615618,0.12012394312209294
8878,0.12637703503263306,0.11941440321965108
8935,0.1270068033319804,0.12104848067525806
8993,0.13039632388534078,0.12860424140175292
9260,0.13106784556763396,0.12902408681371785
9468,0.1307481644762813,0.1296385880774435
9554,0.13152173776675566,0.13062202109589463
9567,0.13129550971142054,0.13288716107397675
9698,0.1306401901771921,0.1316381724324972
9843,0.13277693243364827,0.13021181832384726
9907,0.13607405600497532,0.13121503745737031
10276,0.1368777566048758,0.13301767828822292
10283,0.1367658552127783,0.13594157660245845
10399,0.13836372424852272,0.1366059249704093
10479,0.13786408194355226,0.1366469966110011
10522,0.14519428322468123,0.1410446068187811
10607,0.1465153491201876,0.14302133366240546
10780,0.14861813463778384,0.14491549826915734
10902,0.14941145214502816,0.1469500961237742
10905,0.1502677361021276,0.14644533896129872
10966,0.15082733936008505,0.14748002394207274
10974,0.14851819525288334,0.1484485872432313
11020,0.14914537696782568,0.14887416379836665
11102,0.15121852640846917,0.14800919252239933
11419,0.1516306858202998,0.14929659957195135
11472,0.15102773802389377,0.1500244431605123
11532,0.1502208704234159,0.14822156195730204
11566,0.15168773835494756,0.146192216738156
11685,0.1522850270278486,0.14689783274339288
11759,0.15237370706729164,0.146627950748525
11969,0.1525385009859458,0.1486850050335545
11974,0.15141899656622687,0.1500859449128834
12164,0.15335442529490234,0.15081158667462574
12290,0.1530061975890043,0.15377730212113322
12671,0.1517716190772242,0.15417296905871056
12877,0.1521450547156797,0.15507242645753636
13034,0.1552887772013661,0.15467279596838562
13061,0.15721283079733878,0.1525489495090179
13546,0.155974716421392,0.15278107421883755
13597,0.15671811567296415,0.15230718619446082
13620,0.15837372803950486,0.15083540543057158
13810,0.15723675185871475,0.15018981346196014
14080,0.15792430818154046,0.14847248823272094
14221,0.15813704135790965,0.15328209668806653
14294,0.15700055879075145,0.1564943741743052
14338,0.16029539591493644,0.1578503903708191
14447,0.1611054561366377,0.16087686258340272
14638,0.15995656017390494,0.15966058719173465
14668,0.16056792769042685,0.15976208178789997
14779,0.16201996381661832,0.15972703401214197
14873,0.16229237918028594,0.15892988945189915
15473,0.16227477935668022,0.15871582106286117
15507,0.16296497964954662,0.16124859692160393
15740,0.1628273770565557,0.16405474302317186
15764,0.1654669394554246,0.16697697296270841
16116,0.16703435674631611,0.16736577198345426
16249,0.16980175571138978,0.16671897938378516
16321,0.168371133997162,0.16418132151610945
16809,0.16795182409721876,0.16305453684578727
16857,0.16962992965527438,0.16283737544887153
17066,0.1713268685621689,0.1604485359398941
17097,0.1716373615109255,0.16091523048109624
17317,0.17229620016070699,0.1582145251514743
17339,0.17371372727749285,0.15706955820844481
17543,0.174674342891943,0.15926973622427593
17557,0.17457134585410414,0.15784009643979038
17586,0.17502440323702204,0.15975407145099457
18451,0.1727173404522816,0.15916381492197468
19116,0.17239521414323597,0.15953103352353518
19169,0.17444054544037124,0.15709866671306447
19531,0.17295874467156383,0.15669496175880315
19640,0.17252018565813254,0.15563647584362708
19654,0.1716689301049699,0.15535586758675454
19731,0.1709361211228705,0.15323937563501944
19846,0.16999857302041307,0.15517852144231906
19995,0.1703191854800048,0.1550113249534727
20053,0.17057387641040472,0.15472821721440325
20062,0.17052142758219666,0.15501727475011517
20138,0.1710322407905527,0.1548611966551129
20244,0.16821768173474166,0.1553421635220106
20252,0.17007013940004684,0.1560318625315704
20323,0.1726865288320459,0.15717638376093898
20440,0.175328747675405,0.1587282623457202
20539,0.1766107362618969,0.1607162699588058
20540,0.17673209969665898,0.16026450361962968
