Step,bce,mse
17527,239.1914978,220.4866333
17584,252.5238342,211.8374481
17684,272.1998596,210.3572083
17741,263.0462646,216.1396027
17841,264.1748962,201.1977844
17898,263.7711487,206.2676086
17998,294.3246155,213.9716187
18055,323.7015686,205.8172455
18155,262.9958496,207.362793
18212,319.6106262,215.7638092
18312,240.7593384,214.7280579
18369,266.5688782,209.3729095
18469,240.1231537,220.5591278
18526,248.5544739,217.9081726
18626,281.5646667,211.0749359
18683,257.7562256,212.9080505
18783,246.2953491,212.9483795
18840,250.9809723,216.3828278
18940,259.8569336,220.3478088
18997,234.8581238,227.610321
19097,286.2623596,240.3905487
19154,251.1607819,232.8236847
19254,240.7469482,229.6244659
19311,271.4115906,216.0775757
19411,247.1520081,227.944046
19468,257.0570984,211.2526855
19568,265.6549988,213.7720947
19625,249.654541,205.1412048
19725,253.4922028,210.5196075
19782,248.0793457,220.4113312
19882,236.283905,236.2214813
19939,237.4771729,210.1734009
20039,248.5222321,215.6860352
20096,256.2264709,212.0460358
20196,253.6466064,207.7743835
20253,253.4215546,226.240387
20353,256.7944336,209.6508331
20410,249.377182,221.8841553
20510,253.6264954,204.8225708
20567,242.789032,227.0627136
20667,244.530304,212.5286255
20724,235.2865448,222.4999237
20824,238.4189148,212.6966095
20881,296.9114075,228.8838196
20981,261.9019775,220.7204742
21038,250.608078,214.6982422
21138,286.9507751,220.4947815
21195,250.0919342,214.0429993
21295,241.5709839,209.677002
21352,232.623764,212.86763
21452,251.5436859,218.0276184
21509,241.0895844,217.2004395
21609,237.0392609,207.7013702
21666,275.5938721,206.0141296
21766,301.3302002,208.565918
21823,262.0932617,211.3613892
21923,256.6634521,227.5484009
21980,263.168396,213.2904053
22080,246.9915161,219.2860718
22137,241.7565918,211.2899628
22237,282.9254761,200.3541107
22294,261.3817749,213.8419189
22394,239.5691681,217.742691
22451,250.7570038,234.0801392
22551,244.2549744,207.3844299
22608,235.009903,224.5795746
22708,238.0401154,212.1784821
22765,247.8454285,222.5009155
22865,239.4825897,224.5215607
22922,249.1605225,231.7934418
23022,230.3613281,206.9382629
23079,231.0647278,210.9256134
23179,270.0398865,217.9720764
23236,287.7241516,202.0857086
23336,247.9598694,221.8562775
23393,241.9922333,218.2874756
23493,252.3336487,219.6545868
23550,237.1967621,210.4799957
23650,265.8346558,216.1628113
23707,269.7974548,224.7814789
23807,252.3525696,229.7453766
23864,255.6289368,210.9070587
23964,262.2261963,209.4603729
24021,257.4476624,208.4130249
24121,242.3860779,213.4634552
24178,265.6258545,221.7579498
24278,268.3223572,224.2299042
24335,260.5608215,214.1962433
24435,255.9915619,232.8066864
24492,256.3698425,207.4359283
24592,239.9173889,217.0473633
24649,250.432663,199.6485138
24749,236.6603394,211.9517212
24806,245.978363,204.6797333
24906,240.470871,206.3095703
24963,229.5176849,217.0760193
25063,256.6063538,224.734726
25120,252.4845276,204.2739258
25220,315.3082886,221.8231506
25277,270.769928,205.6108856
25377,261.379303,211.8747864
25434,245.404129,218.3534546
25534,252.8690033,226.3608551
25591,234.9463654,215.3833923
25691,258.7855225,228.7854309
25748,249.9020844,214.5727844
25848,244.5109558,213.712738
25905,248.7034454,207.7766113
26005,243.2055054,212.3697052
26062,245.6734772,224.8181763
26162,233.0805817,230.0447693
26219,253.6257172,201.2877045
26319,226.6587219,221.7941437
26376,229.6297913,204.2769928
26476,242.5178528,225.3176575
26533,239.1804504,212.2444305
26633,236.3167419,205.1906738
26690,240.6341858,219.3070679
26790,252.7617493,213.5790558
26847,244.900116,212.126358
26947,238.5921173,219.493866
27004,245.6605682,208.8854218
27104,248.5805511,213.2600098
27161,233.4525452,213.8058777
27261,239.2785645,213.7960815
27318,257.1452637,204.8000641
27418,236.438324,207.1681366
27475,241.5652466,211.5605774
27575,222.9491119,213.3498688
27632,237.645752,195.861084
27732,235.828476,210.9986877
27789,242.7799225,216.9615631
27889,236.2275391,210.404129
27946,239.4702454,215.8223877
28046,236.9411621,222.1595917
28103,239.92453,212.8777771
28203,241.6251678,219.5373383
28260,228.2338562,232.4963684
28360,228.8015594,221.8640289
28417,241.7302856,218.7759705
28517,239.5797272,219.4465179
28574,249.0697174,211.6282654
28674,246.4815979,229.1773376
28731,239.6186218,207.9671631
28831,264.940918,217.8216858
28888,280.5522156,206.9783478
28988,298.5291443,218.0834351
29045,271.4537048,207.3081512
29145,287.0395203,221.8944702
29202,321.8354492,221.40242
29302,270.0133972,209.4648895
29359,329.502655,219.487442
29459,252.0253754,216.6453552
29516,289.7496643,206.2980804
29616,280.3461609,213.026474
29673,287.6896973,203.1859283
29773,270.8793945,219.3934174
29830,271.0828552,212.8786621
29930,256.2955933,210.6252441
29987,293.2021179,205.3157501
30087,295.4490356,221.7629242
30144,261.3580017,259.7625122
30244,278.3766479,215.9843445
30301,273.4046936,
30401,248.1295776,
30458,268.6480408,
30558,252.4675903,
30615,295.581665,
30715,284.9444275,
30772,278.1846924,
30872,331.4433289,
30929,304.0635071,
31029,246.8904419,
31086,264.321106,
31186,283.3350525,
31243,249.4359894,
31343,254.3732147,
