Step,worker3,worker4
42,0.020198394,0.022952043
167,0.01724867985,0.0195766185
229,0.014849597122499999,0.017394462525
234,0.014707995904125,0.015847185746250003
273,0.024011660568506253,0.016568763934312503
474,0.026670196883230315,0.02629463059416563
536,0.023443232800745766,0.04097731585504079
579,0.039389871280633905,0.05809200852678467
586,0.05052894113853883,0.07118779189776697
634,0.055278502267758,0.06355411641310192
647,0.06614001497759431,0.06331043865113663
714,0.07462444053095517,0.05840847395346613
808,0.07660316770131188,0.06146217606044621
1014,0.0727678243461151,0.06921194105137929
1333,0.07987948464419783,0.06410153554367239
1337,0.07987255454756816,0.05843953151212153
1385,0.07097403516543294,0.0798324717353033
1392,0.06328754299061799,0.09157729612500781
1436,0.06282016564202529,0.08374464890625663
1691,0.07010784834572151,0.09504807622031813
1734,0.07070734309386328,0.08317053768727041
1737,0.06237658442978379,0.07165930133417985
1877,0.060446708815316226,0.08010360768405286
1917,0.0680172595430188,0.07368538358144493
2036,0.06880996176156597,0.0721096006442282
2199,0.06347221419733107,0.07100601499759396
2307,0.06402898671773141,0.06851276764795486
2389,0.0634059329600717,0.06349435240076164
2485,0.07883325686606095,0.05882555659064739
2486,0.07179748558615182,0.054703061052050285
2498,0.06771961654822904,0.061747191694242747
2685,0.059020816465994684,0.06017290124010633
3038,0.061239479596095485,0.07027869580409038
3230,0.05553143560668116,0.07323517093347683
3246,0.053241364365678986,0.0685619684934553
3305,0.05072139611082714,0.06643242231943701
3618,0.05532896004420307,0.059518304571521456
3620,0.06272741633757262,0.07233383483579324
3670,0.06507651138693672,0.06536876786042425
3741,0.059929834028896206,0.06741538888136062
3814,0.062221355674561774,0.06223284494915653
3821,0.056288696573377504,0.06764560860678305
3956,0.06604155278737088,0.0711732746157656
4317,0.05831910071926524,0.07374431592340076
4400,0.054390615311375456,0.06744246853489064
4492,0.052722310614669136,0.06531010805465703
4509,0.048591187972468766,0.06209890114645848
4676,0.049107649676598454,0.06547856222448971
4788,0.04546844557510868,0.06264135749081626
4971,0.04228251418884237,0.07781848671719382
5134,0.05084184656051602,0.07149246940961475
5345,0.045165942926438614,0.08111815894817254
5359,0.04196831973747282,0.07607298800594665
5723,0.0401576970768519,0.06965702150505465
5864,0.041752475015324114,0.06294100122929645
5907,0.0457131071130255,0.05901229794490199
5990,0.04318008109607168,0.06257927650316669
6200,0.04992079488166093,0.057763444527691686
6219,0.04627530379941179,0.054750029948537934
6289,0.05322006022950002,0.06008018320625724
6574,0.06534035074507502,0.05688749197531866
6699,0.06326649248331376,0.05694401122902086
6711,0.06003341986081669,0.06525764674466773
6854,0.05813312703169419,0.059560946182967575
6966,0.05766979082694006,0.05694094550552244
7155,0.053274122302899046,0.059121464829694076
7382,0.04991354355746419,0.06296663415523997
7460,0.06679232227384456,0.06248840458195397
7463,0.06940929348276788,0.06150025459466087
7511,0.0627213253103527,0.05903008825546174
7798,0.06425657166379979,0.054631537867142484
7833,0.06468809546422982,0.06266396828707112
7991,0.06527852659459535,0.059472635294010444
8066,0.06137591695540605,0.05590666859990888
8180,0.07534864106209514,0.05155139930992255
8221,0.06680223505278086,0.05445177736343417
8363,0.06801728889486373,0.049767916908919047
8498,0.07115031251063417,0.047080066022581184
8508,0.07083903288403905,0.04372847876919401
8601,0.07094751815143319,0.04253108475381491
8878,0.0650011398287182,0.04666124239074268
8935,0.05932534655441047,0.06167439103213128
8993,0.0555274942212489,0.06154303137731158
9260,0.05577107393806156,0.05651094487071484
9468,0.04949804769735233,0.05719786344010762
9554,0.05003219729274948,0.05589560762409147
9567,0.047608706498837056,0.05773962353047775
