gen,mean,sd
1,219,11.379026767474203
2,209,8.259065528522706
3,220,8.708174581341636
4,222,10.358757935848136
5,218,8.789882106463
6,217,8.34932395008764
7,218,8.03150013620656
8,220,8.31248239500827
9,220,9.425282826633191
