Step,max-g,min-g
42,0.6716713909999998,0.675804853
167,0.6871257905499999,0.6858703192
229,0.6977583627224999,0.69937836934
234,0.7097406762363749,0.702344695923
273,0.7110586492745562,0.7187440178768499
474,0.6980175492108284,0.7182242217330074
536,0.7032008222002869,0.711287594396357
579,0.7024033803402726,0.6974363642265392
586,0.716433716973259,0.6937392117152122
634,0.7163500164745961,0.6988102360294517
647,0.7115251040508663,0.692055735527979
714,0.707755341648323,0.6919237036015802
808,0.7178836333659069,0.7108969246715012
1014,0.7162694835976116,0.7227869359379262
1333,0.709149426117731,0.73676065914103
1337,0.6985598113118444,0.7338312526339784
1385,0.6982067198462522,0.7359019197022795
1392,0.7052409770539395,0.7321172796671656
1436,0.7010730829012425,0.7132524491338073
1691,0.7101891825561804,0.7083711493771169
1734,0.7078038245783713,0.707510399358261
1737,0.7096643488494527,0.707951995890348
1877,0.7093747952569801,0.7134471878458306
1917,0.6985747356441311,0.7072118637535392
2036,0.6992352229619245,0.7030786297658622
2199,0.7130605520138283,0.7124228796275691
2307,0.7048561726131369,0.7166169171461907
2389,0.7037166562324801,0.7241369764888812
2485,0.6987259285208561,0.7192613509144371
2486,0.7107243618948134,0.7187420184687152
2498,0.7017220037500727,0.7172418378452794
2685,0.687538808412569,0.7044089303030154
3038,0.6776529843919405,0.7029932550878647
3230,0.6824526707723435,0.6874409304834714
3246,0.6720037146837263,0.6765219467092979
3305,0.66636608839954,0.688400142623833
3618,0.668844366679563,0.6753868694926414
3620,0.6555591636455849,0.6685938729680093
3670,0.6599496397133057,0.6606995333196088
3741,0.6529342634776404,0.6503672893536284
3814,0.6523444780037584,0.667846519835947
3821,0.6428026112035704,0.6536176921441496
3956,0.633788203643392,0.641792925736942
4317,0.6221863440612223,0.6275252619500948
4400,0.6163388492081613,0.6294091595525901
4492,0.6162772388477532,0.6194696963249606
4509,0.6313537469053656,0.6157567415087126
4676,0.6329898938600974,0.609727228483277
4788,0.6215444813170925,0.5897168758591131
4971,0.6091617564012378,0.5802067106661575
5134,0.596463619031176,0.5714547809328496
5345,0.5853313937296172,0.5670087384862071
5359,0.5934402622431363,0.5713480696618968
5723,0.5860808664309795,0.5630131081788019
5864,0.5907188669094304,0.5666653544198618
5907,0.580502623263959,0.5606555430988687
5990,0.5810619535507611,0.5661348128939252
6200,0.589543536823223,0.5604341619492289
6219,0.5847037700320619,0.5496846580017674
6289,0.5729236527304588,0.539916509501679
6574,0.5629329773439358,0.5327453572765951
6699,0.558049993026739,0.5361707023127653
6711,0.5562819515754021,0.5332260579471271
6854,0.5431129089466319,0.5267716445497708
6966,0.5317957106993003,0.5309681671722822
7155,0.5273193675643353,0.5252207427136681
7382,0.5207965453861185,0.5245937827779847
7460,0.5297369556168127,0.5276116010890854
7463,0.524432749235972,0.5218966234346312
7511,0.5204604855741735,0.5198705740128996
7798,0.5092288247954648,0.5211484144122546
7833,0.5013505883556916,0.5120713734916419
7991,0.499452707587907,0.4999250360170598
8066,0.4910464590085116,0.4956177963162068
8180,0.4993081142580861,0.49034949130039646
8221,0.49168317344518175,0.48624113438537664
8363,0.48304569807292264,0.4946823604661078
8498,0.47895137301927654,0.4918449861928024
8508,0.4715128098183127,0.4895371462831623
8601,0.47569771077739703,0.4910849941190042
8878,0.46640048518852717,0.484090757063054
8935,0.4615498780291008,0.48346764355990124
8993,0.47651124287764574,0.5045924890319062
9260,0.47608482513376343,0.4972644759303109
9468,0.46727979472707526,0.4912855026337954
9554,0.4614124385407215,0.4927784589521056
9567,0.46126753326368547,0.49946622335450036
9698,0.4569514237505012,0.4927414731867753
9843,0.46133047646297615,0.48607304372743654
9907,0.4681348859398273,0.4911019875910647
10276,0.4594937469928359,0.4893319900615115
10283,0.45588255834319413,0.49595153740843595
10399,0.4633442607260344,0.49564290288801416
10479,0.4551730070897327,0.4887461536436134
10522,0.4864961722352461,0.5086493968614327
10607,0.4868860197734838,0.5045433467183611
10780,0.49394169598480964,0.5033504410824431
10902,0.4916668861355692,0.4999639046283209
10905,0.4866996852287907,0.4894706159469049
10966,0.4808235650673512,0.48806508699955964
10974,0.4723137330139836,0.4832425783495817
11020,0.46951003326328444,0.48105631388210257
11102,0.4855030405501202,0.48179126688799745
11419,0.4830259210226142,0.4818721678435976
11472,0.4821142405214835,0.4862681312514177
11532,0.4765654213454093,0.4736298187388468
11566,0.4762411452281389,0.4693673288519044
11685,0.4634419550667319,0.4740411166093092
11759,0.45654162286339534,0.4666387153288437
11969,0.45268078887022556,0.4632385519124015
11974,0.4433359670767143,0.4667241145667814
12164,0.4448786387728786,0.4595891560884423
12290,0.44439846518423465,0.46657601093402024
12671,0.43958415022502295,0.4644435250873192
12877,0.4318270192637718,0.46339660278295325
13034,0.44209978985058324,0.45497606119380557
13061,0.4528201719580541,0.44537195388411527
13546,0.44826347781015136,0.44237113278990947
13597,0.4450171624196438,0.438586346500414
13620,0.4541390540986616,0.4364760653253933
13810,0.4470759587937285,0.4363059410591236
14080,0.4457226147040421,0.4273155161561674
14221,0.44327295741884,0.43807785384835907
14294,0.437299321347898,0.4516218745559411
14338,0.44854540003050314,0.460997101828144
14447,0.43688577167897796,0.4659162464867368
14638,0.43318379289502906,0.45719127536239995
14668,0.4300027137002776,0.45219812789427993
14779,0.4301429160152637,0.45833858744956596
14873,0.42884714051450057,0.4534176026770877
15473,0.4299409599387755,0.44888720099323326
15507,0.42837689429183673,0.4611058416435716
15740,0.42646859142724486,0.464777936861393
15764,0.44006919215588264,0.47692214826832335
16116,0.4400737700980885,0.4769516990549072
16249,0.44429064764318404,0.4648156422521619
16321,0.43712783036102487,0.4511481617895538
16809,0.43157334794297364,0.4472111270000761
16857,0.431855545295825,0.44168867715007226
17066,0.44809084393103377,0.4357054635425686
17097,0.4504744399844821,0.43960764651544015
17317,0.453412302335258,0.4323279272896681
17339,0.45332286516849507,0.43003280272518474
17543,0.45217055056007033,0.43328577918892547
17557,0.4468020868820668,0.4273041666794792
17586,0.4435741045879634,0.43167015534550524
18451,0.43394978265856526,0.43271613062822994
19116,0.43219312727563697,0.43816982454681846
19169,0.43198431896185513,0.4360413611694775
19531,0.42781842001376236,0.4270106820110036
19640,0.42249847886307423,0.42554102386045345
19654,0.4196400569199205,0.4234586441674308
19731,0.41502450157392445,0.4132922162590592
19846,0.4152618898452282,0.4217643048961063
19995,0.4117378846529668,0.418575780201301
20053,0.4055897760203184,0.41459790844123595
20062,0.40737761501930253,0.4153145629191741
20138,0.4041461112183374,0.41216880672321543
20244,0.40242613245742054,0.4143741290870547
20252,0.4055875817345495,0.42067256303270195
20323,0.41280004334782205,0.4229641248310668
20440,0.42214068278043093,0.4262904052895135
20539,0.4197542277914094,0.4317205129750379
20540,0.41965991135183894,0.428360853076286
20578,0.414977842884247,0.4284362065724717
20779,0.41647532644003465,0.4332230294438481
20782,0.41409215241803293,0.4335685356716557
20831,0.4103518566971313,0.42826973348807296
20855,0.4081928699622747,0.4254196127636693
21080,0.406097127614161,0.4375678537754858
21144,0.40679590943345295,0.4348796234867115
21232,0.40590192071178033,0.4200057034623759
21319,0.4010913350261913,0.41733127608925713
21391,0.4057314449748818,0.41923361953479427
21523,0.3985603562261377,0.4270389104080546
21848,0.4020392463148308,0.4273885421876518
22245,0.39972704124908925,0.4270038571282692
22292,0.3977468962366348,0.4223677573718557
22330,0.3973854399748031,0.4153014253032629
22358,0.39027364512606294,0.4079372260880998
22472,0.3948496002697598,0.41190071008369483
22840,0.3975655186062718,0.4085892006295101
23138,0.3948463798259582,0.4100909805480346
23148,0.39328349538466034,0.4172625966206329
23192,0.3957626398654273,0.41283688553960124
23218,0.3886013078221559,0.4046428998626212
23286,0.3968018278810481,0.4047093118694901
23361,0.4048783169369957,0.4010684529260156
23427,0.3944480458401459,0.40134374272971485
23540,0.3994199223981386,0.4016304927432291
23670,0.4002844942782317,0.40037829590606766
23681,0.4005684421143201,0.4032211121607643
23701,0.3932048328086041,0.3990292525027261
23938,0.38854955831817384,0.4050375200275898
24147,0.38382747310226517,0.4099379398762103
24282,0.3859559477471519,0.4080647719323998
24284,0.3828982405097943,0.4047247039857798
24322,0.3804185383343046,0.4071758666864908
