Step,mse,bce
20667,212.5286255,217.1576691
20724,222.4999237,228.0208893
20824,212.6966095,216.3278351
20881,228.8838196,204.6559601
20981,220.7204742,207.2366943
21038,214.6982422,203.3545532
21138,220.4947815,214.656723
21195,214.0429993,200.3809814
21295,209.677002,235.0562439
21352,212.86763,206.419693
21452,218.0276184,206.6174927
21509,217.2004395,225.559845
21609,207.7013702,213.6487274
21666,206.0141296,202.2744446
21766,208.565918,207.3329163
21823,211.3613892,222.3865967
21923,227.5484009,203.8005066
21980,213.2904053,210.7128296
22080,219.2860718,206.7159882
22137,211.2899628,208.9065094
22237,200.3541107,225.2129364
22294,213.8419189,215.8901062
22394,217.742691,218.6005859
22451,234.0801392,203.1240234
22551,207.3844299,214.211792
22608,224.5795746,213.5819702
22708,212.1784821,215.6621399
22765,222.5009155,216.3958282
22865,224.5215607,217.3642578
22922,231.7934418,203.1962891
23022,206.9382629,229.4790344
23079,210.9256134,217.8778534
23179,217.9720764,208.0169067
23236,202.0857086,244.8660889
23336,221.8562775,224.4528351
23393,218.2874756,216.3518829
23493,219.6545868,205.9278107
23550,210.4799957,220.5960999
23650,216.1628113,221.4546204
23707,224.7814789,208.1452637
23807,229.7453766,221.2041626
23864,210.9070587,215.1969147
23964,209.4603729,201.350296
24021,208.4130249,201.4706879
24121,213.4634552,220.6573944
24178,221.7579498,213.0545044
24278,224.2299042,208.1064453
24335,214.1962433,205.7505493
24435,232.8066864,214.5864105
24492,207.4359283,220.6764832
24592,217.0473633,217.101944
24649,199.6485138,224.7049408
24749,211.9517212,213.9775391
24806,204.6797333,227.0553589
24906,206.3095703,211.8884735
24963,217.0760193,221.2052002
25063,224.734726,209.0339203
25120,204.2739258,202.8144379
25220,221.8231506,202.7203217
25277,205.6108856,212.1536255
25377,211.8747864,216.5886688
25434,218.3534546,227.7284546
25534,226.3608551,220.3813019
25591,215.3833923,219.8775482
25691,228.7854309,225.1168671
25748,214.5727844,230.4139099
25848,213.712738,220.8906708
25905,207.7766113,212.4963989
26005,212.3697052,200.4401245
26062,224.8181763,216.3869781
26162,230.0447693,229.9448853
26219,201.2877045,207.9120026
26319,221.7941437,208.8141174
26376,204.2769928,204.7245941
26476,225.3176575,209.4880219
26533,212.2444305,222.603302
26633,205.1906738,209.9526215
26690,219.3070679,209.8392029
26790,213.5790558,209.7312775
26847,212.126358,203.902832
26947,219.493866,215.6649628
27004,208.8854218,214.7322998
27104,213.2600098,212.5231781
27161,213.8058777,220.418396
27261,213.7960815,207.372879
27318,204.8000641,199.8824463
27418,207.1681366,205.4803009
27475,211.5605774,203.2756958
27575,213.3498688,213.6953735
27632,195.861084,217.4818115
27732,210.9986877,209.6490173
27789,216.9615631,225.9481201
27889,210.404129,254.9886627
27946,215.8223877,225.5363159
28046,222.1595917,218.0879059
28103,212.8777771,223.4455566
28203,219.5373383,212.6800385
28260,232.4963684,214.2199402
28360,221.8640289,208.0846863
28417,218.7759705,206.8757935
28517,219.4465179,210.7896576
28574,211.6282654,219.2113037
28674,229.1773376,215.9694672
28731,207.9671631,215.3760681
28831,217.8216858,222.4897766
28888,206.9783478,206.0685577
28988,218.0834351,209.6809235
29045,207.3081512,219.6025238
29145,221.8944702,207.427063
29202,221.40242,207.9349976
29302,209.4648895,212.0065002
29359,219.487442,213.0930176
29459,216.6453552,225.2589417
29516,206.2980804,217.278595
29616,213.026474,212.2928009
29673,203.1859283,207.4173584
29773,219.3934174,202.157074
29830,212.8786621,254.1322632
29930,210.6252441,262.4849548
29987,205.3157501,215.9052582
30087,221.7629242,213.266037
30144,259.7625122,216.4561615
30244,215.9843445,221.9915161
