Step,311,312,lr1,lr2
13597,0.040172148,0.059061997,0.142515153,0.142515153
13620,0.028679069,0.074425362,0.162703633,0.162703633
13810,0.061581992,0.061379768,0.19979018,0.19979018
14080,0.028708298,0.041443363,0.192818195,0.192818195
14221,0.040139638,0.090763159,0.159577429,0.159577429
14294,0.050886896,0.093340881,0.155774966,0.155774966
14338,0.052076362,0.046542574,0.150339246,0.150339246
14447,0.016706429,0.095612854,0.251186699,0.251186699
14638,0.064416602,0.046716355,0.166046202,0.166046202
14668,0.049479946,0.102130339,0.187310457,0.187310457
14779,0.058021985,0.04627832,0.150703043,0.150703043
14873,0.059643485,0.087259971,0.13351728,0.13351728
15473,0.076232158,0.050128117,0.126832962,0.126832962
15507,0.02107287,0.089434244,0.12641789,0.12641789
15740,0.082861438,0.103608087,0.068441525,0.068441525
15764,0.042738568,0.049315646,0.178456724,0.178456724
16116,0.039198939,0.071927696,0.12781319,0.12781319
16249,0.043042123,0.048218552,0.183388293,0.183388293
16321,0.021959983,0.076352745,0.242822647,0.242822647
16809,0.072784312,0.111628614,0.180332422,0.180332422
16857,0.029347125,0.080599532,0.087872118,0.087872118
17066,0.079267278,0.072420135,0.09243384,0.09243384
17097,0.047729157,0.104745716,0.238660246,0.238660246
17317,0.046265192,0.076336324,0.194999889,0.194999889
17339,0.053181052,0.087545648,0.086684167,0.086684167
17543,0.027959226,0.077506229,0.144821391,0.144821391
17557,0.061807334,0.122356631,0.140370876,0.140370876
17586,0.080502063,0.113025866,0.153388485,0.153388485
18451,0.061591879,0.030857097,0.177671105,0.177671105
19116,0.016660368,0.088233322,0.096515462,0.096515462
19169,0.023933934,0.175400212,0.147510931,0.147510931
19531,0.057037968,0.107958108,0.089402616,0.089402616
19640,0.144511238,0.087349631,0.104335941,0.104335941
19654,0.065865763,0.031444363,0.113726988,0.113726988
19731,0.015988762,0.079059444,0.263018966,0.263018966
19846,0.065688178,0.072641261,0.185151801,0.185151801
19995,0.046694245,0.087409213,0.185671106,0.185671106
20053,0.048299346,0.025590679,0.129779354,0.129779354
20062,0.026556801,0.142246559,0.115534455,0.115534455
20138,0.100384884,0.170888513,0.060211912,0.060211912
20244,0.025699453,0.012124791,0.182023317,0.182023317
20252,0.049146008,0.076921046,0.179227203,0.179227203
20323,0.037102863,0.089796171,0.215203181,0.215203181
20440,0.084460318,0.12391609,0.109644607,0.109644607
20539,0.09751536,0.134125471,0.425030172,0.425030172
20540,0.031068321,0.077334724,0.132575244,0.132575244
20578,0.067379154,0.071777038,0.114792973,0.114792973
20779,0.041802414,0.106174752,0.147867352,0.147867352
20782,0.04955579,0.054950863,0.23346895,0.23346895
20831,0.05954212,0.096140966,0.057692818,0.057692818
20855,0.125599667,0.157979071,0.155585527,0.155585527
21080,0.080450833,0.131916702,0.050899714,0.050899714
21144,0.019724578,0.136087194,0.244668663,0.244668663
21232,0.04707092,0.043901403,0.115296356,0.115296356
21319,0.051151086,0.098248541,0.135449141,0.135449141
21391,0.091229498,0.100147918,0.216996074,0.216996074
21523,0.086030945,0.091689438,0.143903047,0.143903047
