Step5,bce5,mse5,Step,bce,mse
8478,282.2568771,225.6844665,8478,216.4544031,225.7396294
8578,279.7116002,225.3968426,8578,218.8706392,225.153349
8635,286.362068,224.5408497,8635,217.873971,223.490062
8735,289.3391638,225.2916705,8735,217.9739663,225.201861
8792,289.3093581,225.2910312,8792,219.5639997,225.2185445
8892,287.4704572,225.9933689,8892,217.1922764,226.637717
8949,283.3844756,227.7642666,8949,216.2761691,230.050643
9049,282.7110244,226.9184537,9049,214.6741244,227.9017418
9106,280.2358692,227.2793625,9106,215.8108144,228.4269019
9206,277.0613531,225.9926769,9206,216.3502445,225.6240227
9263,277.386248,226.4498271,9263,215.5735977,226.6120539
9363,276.5215551,225.4534756,9363,216.8952155,224.5869057
9420,275.0110256,224.393588,9420,216.4562999,222.6404443
9520,273.3638781,223.9072138,9520,218.7678415,222.0183247
9577,273.916568,223.2732749,9577,219.1064668,221.1282248
9677,274.4332578,224.0078524,9677,216.6199818,223.0263897
9734,273.9031248,224.6281944,9734,216.8106247,224.4633664
9834,274.6612712,225.4958727,9834,214.6324658,226.2316886
9891,273.0691797,224.498469,9891,216.3765842,224.0897179
9991,272.0267972,224.6638198,9991,218.9619272,224.5021698
10048,271.1339442,224.0225828,10048,219.2450056,223.2520258
10148,271.7210441,222.1947722,10148,215.6471916,219.7505159
10205,269.9729464,222.3072209,10205,213.7461346,220.4642646
10305,268.8414385,222.6828389,10305,214.8934104,221.5840918
10362,268.8240732,223.222604,10362,214.3386175,222.8833714
10462,270.8274019,224.8255221,10462,216.2882036,226.1570542
10519,271.3500908,225.4967922,10519,215.3572169,227.233288
10619,270.1373565,226.9836273,10619,216.7694619,229.859659
10676,269.5053927,227.5417389,10676,217.5975519,230.4006758
10776,273.3095196,228.6988778,10776,216.4450368,232.1431664
10833,272.3271272,226.8167739,10833,216.210189,227.6901007
10933,271.625457,226.7380079,10933,213.8510247,227.3579033
10990,272.0435875,227.1119717,10990,213.6926514,227.9818518
11090,275.800737,226.8763971,11090,213.1779187,227.3367266
11147,276.2660399,227.3815293,11147,214.379951,228.2549251
11247,278.5435924,226.3616991,11247,214.0125972,226.0405856
11304,277.8466703,225.4078976,11304,211.7801614,224.1972054
11404,277.8050086,227.4333249,11404,210.1222187,228.4901984
11461,277.4947012,227.9894126,11461,209.380795,229.3909991
11561,275.2524012,227.3420796,11561,211.908762,227.8160158
11618,274.3659153,226.3584545,11618,211.0580795,225.7539784
11718,274.3558314,226.3527162,11718,214.6363318,225.863397
11775,272.8598112,224.8129036,11775,213.6641496,222.8816355
11875,272.0343068,224.1362321,11875,212.5192927,221.9145461
11932,272.6452285,223.8833571,11932,214.2759872,221.8531335
12032,279.4280171,224.2763477,12032,213.1866253,223.0451594
12089,275.512727,224.3525978,12089,215.2913321,223.4438973
12189,276.3606669,223.4560191,12189,212.6464965,221.8324799
12246,275.8479492,223.2261795,12246,212.3888494,221.6975086
12346,279.0115308,222.5489,12346,210.7984086,220.6486837
12403,280.9484819,223.2857214,12403,210.2962007,222.5023698
12503,280.7118582,222.9008306,12503,213.3270881,221.8892586
12560,279.3249955,222.9463967,12560,212.390714,222.1827051
12660,278.5298007,222.6367546,12660,210.9882548,221.7161592
12717,278.1827441,220.7285707,12717,212.1712008,218.0839106
12817,280.6895246,219.0804161,12817,214.3665383,215.3165334
12874,280.6403597,219.0961538,12874,214.768545,216.1007853
12974,279.6999108,220.6248471,12974,215.6024123,219.7572457
13031,275.8905856,219.97301,13031,216.1340905,218.6270917
13131,275.6835461,218.5519999,13131,215.0353729,216.0542552
13188,273.3605192,217.9993161,13188,213.2277521,215.4484365
13288,270.1148756,219.0835214,13288,214.9518764,218.1270231
13345,270.099433,219.3098144,13345,215.4264028,218.7709086
13445,267.3490341,218.1049377,13445,213.9131926,216.4689364
13502,265.8088664,218.4308895,13502,214.3186156,217.4480403
13602,267.1143933,218.1355957,13602,215.7799962,217.0540225
13659,266.3741423,218.4568551,13659,213.1719828,217.912856
13759,264.7501482,220.6437746,13759,213.5935952,222.3954948
13816,267.2321219,220.2520503,13816,212.5811689,221.2617022
13916,266.7275651,218.4363637,13916,212.2832792,217.4283986
13973,266.5245748,217.1639874,13973,211.9797423,215.0852391
14073,268.0050001,217.5352352,14073,214.8312395,216.2434842
14130,265.2360003,216.5768609,14130,216.0698439,214.5850858
14230,266.3613321,217.9210654,14230,215.3587957,217.6718498
14287,265.2647283,218.8592063,14287,214.3910679,219.5979748
14387,267.0099382,218.5663704,14387,213.3153812,218.8645493
14444,268.0713315,217.0160978,14444,212.6700784,215.7043683
14544,265.7354752,216.4268934,14544,212.5023072,214.7883055
14601,264.9877822,216.8069198,14601,211.3971155,215.8760759
14701,266.7585383,216.0285777,14701,217.2087966,214.5055604
14758,263.8789354,216.5357068,14758,217.2141869,215.8244221
14858,264.8525805,217.0264171,14858,215.6951014,216.9480997
14915,265.247364,219.043824,14915,215.3286397,220.9985768
15015,265.2601734,219.0550315,15015,215.7160795,220.6300412
15072,263.4505394,218.7486067,15072,214.9714628,219.7021897
15172,263.9850905,219.3756869,15172,211.45369,220.7656336
15229,262.168306,218.6689959,15229,213.7205723,219.0742623
15329,264.6031722,218.2879499,15329,216.4293997,218.231117
15386,265.0178672,218.5547528,15386,217.7685961,218.7760893
15486,263.7211144,218.1740715,15486,217.7197505,217.9704594
15543,262.3664651,219.2427331,15543,215.3749215,220.148505
15643,261.8838499,219.7527737,15643,213.9269941,220.9874319
15700,263.1620055,219.9624802,15700,214.1548155,221.1599132
15800,263.8853649,221.1262389,15800,213.5800902,223.247944
15857,262.105149,220.7601986,15857,224.0295995,222.0915223
15957,263.7554404,220.9906103,15957,220.9325541,222.286081
16014,264.9642896,219.8558574,16014,220.8470962,219.7574811
16114,266.0926593,220.4925251,16114,218.5470586,221.0504918
16171,265.3330882,220.6828569,16171,217.6305699,221.3195621
16271,266.3284384,221.2628607,16271,217.060886,222.3522287
16328,267.33701,220.3608621,16328,217.9365933,220.3303578
16428,267.4916299,218.8443422,16428,216.9099131,217.3034189
16485,265.3852251,219.5512029,16485,216.3129219,219.0253248
16585,267.4784256,219.4765132,16585,217.7416461,218.9811211
16642,270.1903548,219.1809462,16642,218.5145175,218.4890656
16742,271.7452817,219.2429953,16742,215.9509664,218.7515399
16799,271.5788498,218.4162757,16799,217.8852421,217.1963919
16899,271.6021569,216.7778006,16899,216.3257108,214.1634184
16956,269.8011499,217.1649711,16956,219.3545292,215.4606359
17056,268.9080985,217.3211791,17056,220.6237662,216.1139189
17113,269.0495488,215.8741503,17113,220.4902544,213.4613133
17213,268.8053757,215.6775144,17213,219.6492866,213.5506089
17270,267.2922042,215.1415913,17270,217.537865,212.9041437
17370,267.040236,215.7179732,17370,217.0471651,214.5043971
17427,267.1052096,214.913397,17427,216.615671,213.1379598
17527,264.3138384,215.4707206,17527,215.0049422,214.6076945
17584,263.134838,215.1073933,17584,218.4368273,214.0536452
17684,264.0413401,214.6323748,17684,214.6856557,213.3143579
17741,263.9418326,214.7830976,17741,214.1579026,213.8794068
17841,263.9651389,213.4245663,17841,214.576612,211.3430823
17898,263.9457399,212.7088705,17898,213.5162639,210.3279876
17998,266.9836275,212.8351453,17998,211.6426315,211.0567138
18055,272.6554216,212.1333554,18055,212.6680633,210.0088202
18155,271.6894644,211.6562991,18155,212.2169031,209.4796147
18212,276.4815806,212.0670501,18212,213.7629573,210.7364536
18312,272.9093564,212.3331509,18312,212.0660879,211.5347745
18369,272.2753085,212.0371268,18369,214.4916062,211.1024015
18469,269.0600931,212.8893269,18469,213.1693348,212.9937467
18526,267.0095311,213.3912114,18526,212.5714114,213.9766319
18626,268.4650447,213.1595839,18626,213.9832797,213.3962927
18683,267.3941628,213.1344306,18683,211.1656215,213.2986443
18783,265.2842814,213.1158254,18783,215.1767691,213.2285913
18840,263.8539505,213.4425257,18840,212.9878264,213.8594386
18940,263.4542488,214.133054,18940,214.572332,215.1571126
18997,260.5946363,215.4807807,18997,214.2149854,217.6477543
19097,263.1614086,217.9717575,19097,211.9922093,222.1963132
19154,261.961346,219.4569502,19154,210.1308463,224.3217875
19254,259.8399062,220.4737018,19254,214.7623064,225.3823232
19311,260.9970746,220.0340892,19311,214.1511843,223.5213737
19411,259.612568,220.8250849,19411,216.2960603,224.4059081
19468,259.357021,219.8678449,19468,216.3787489,221.7752636
19568,259.9868188,219.2582699,19568,219.4830223,220.1746298
19625,258.953591,217.8465634,19625,215.8026929,217.1679448
19725,258.4074522,217.1138678,19725,215.5145664,215.8382774
19782,257.3746415,217.4436141,19782,212.936177,216.7528881
19882,255.2655679,219.3214009,19882,211.5724097,220.6466068
19939,253.4867284,218.4066009,19939,213.6246758,218.5519656
20039,252.9902788,218.1345443,20039,212.0115173,217.9787795
20096,253.313898,217.5256934,20096,214.2456427,216.7922308
20196,253.3471688,216.5505625,20196,214.7913476,214.9886613
20253,253.3546074,217.5195449,20253,212.6826691,217.2390065
20353,253.69859,216.7326737,20353,215.3913715,215.7213718
20410,253.2664492,217.2478219,20410,218.6619711,216.9539285
20510,253.3024538,216.0052968,20510,214.8662926,214.5276569
20567,252.2511117,217.1110385,20567,214.5983167,217.0346683
20667,251.4790309,216.6527972,20667,215.1101871,216.1334597
20724,249.8597823,217.2375098,20724,217.6923276,217.4067525
20824,248.7156955,216.7834198,20824,217.4194291,216.4647239
20881,253.5352667,217.9934598,20881,214.8667353,218.9485431
20981,254.3719378,218.2661612,20981,213.3407271,219.3029293
21038,253.9955518,217.9093693,21038,211.3434923,218.3819919
21138,257.2910742,218.1679105,21138,212.0061384,218.8045498
21195,256.5711602,217.7554194,21195,209.681107,217.8522397
21295,255.0711425,216.9475777,21295,214.7561344,216.2171922
21352,252.8264047,216.5395829,21352,213.0888461,215.5472797
21452,252.6981328,216.6883864,21452,211.7945754,216.0433475
21509,251.537278,216.7395918,21509,214.5476294,216.2747659
21609,250.0874763,215.8357696,21609,214.367849,214.5600867
21666,252.6381158,214.8536056,21666,211.9491681,212.8508953
21766,257.5073243,214.2248368,21766,211.0259177,211.9938998
21823,257.965918,213.9384921,21823,213.2980535,211.8673977
21923,257.8356714,215.299483,21923,211.3985441,215.0035984
21980,258.3689439,215.0985752,21980,211.2614012,214.6609597
22080,257.2312011,215.5173249,22080,210.3523186,215.5859822
22137,255.6837402,215.0945886,22137,210.0631568,214.7267783
22237,258.4079138,213.6205409,22237,213.0931127,211.8522448
22294,258.7052999,213.6426787,22294,213.6525114,212.2501796
22394,256.7916867,214.0526799,22394,214.6421263,213.3486819
22451,256.1882184,216.0554258,22451,212.3385057,217.4949733
22551,254.994894,215.1883262,22551,212.713163,215.4728647
22608,252.9963949,216.1274511,22608,212.8869244,217.2942066
22708,251.500767,215.7325542,22708,213.4419675,216.2710617
22765,251.1352331,216.4093903,22765,214.0327397,217.5170325
22865,249.9699688,217.2206073,22865,214.6990433,218.9179381
22922,249.8890241,218.6778908,22922,212.3984924,221.4930389
23022,247.9362545,217.503928,23022,215.8146008,218.5820837
23079,246.2491019,216.8460965,23079,216.2272513,217.0507896
23179,248.6281803,216.9586945,23179,214.5851824,217.235047
23236,252.5377775,215.4713959,23236,220.6413637,214.2051793
23336,252.0799867,216.1098841,23336,221.403658,215.7353989
23393,251.0712113,216.3276432,23393,220.393303,216.2458143
23493,251.1974551,216.6603376,23493,217.5002045,216.9275688
23550,249.7973858,216.0423034,23550,218.1193836,215.6380542
23650,251.4011128,216.0543542,23650,218.786431,215.7430056
23707,253.240747,216.9270667,23707,216.6581975,217.5507003
23807,253.1519292,218.2088977,23807,217.5673905,219.9896355
23864,253.39963,217.4787138,23864,217.0932954,218.1731202
23964,254.2822866,216.6768797,23964,213.9446955,216.4305707
24021,254.5988242,215.8504942,24021,211.449894,214.8270615
24121,253.3775496,215.6117903,24121,213.2913941,214.5543403
24178,254.6023801,216.2264062,24178,213.2440161,215.9950622
24278,255.9743778,217.026756,24278,212.216502,217.6420306
24335,256.4330221,216.7437048,24335,210.9233114,216.9528731
24435,256.3888761,218.3500029,24435,211.6559312,220.1236358
24492,256.3869728,217.2585955,24492,213.4600416,217.5860943
24592,254.7400144,217.2374723,24592,214.1884221,217.4783481
24649,254.3092792,215.4785764,24649,216.2917258,213.9123812
24749,252.5443853,215.1258909,24749,215.8288885,213.5202492
24806,251.887783,214.0812751,24806,218.0741826,211.752146
24906,250.7460918,213.3041046,24906,216.8370408,210.6636309
24963,248.6232511,213.6812961,24963,217.7106726,211.9461086
25063,249.4215614,214.7866391,25063,215.9753222,214.5038321
25120,249.727858,213.7353678,25120,213.3431453,212.4578508
25220,256.2859011,214.5441461,25220,211.2185806,214.3309108
25277,257.7343038,213.65082,25277,211.4055896,212.5869057
25377,258.0988037,213.4732166,25377,212.4422054,212.4444819
25434,256.8293362,213.9612404,25434,215.4994553,213.6262764
25534,256.4333029,215.2012019,25534,216.4758246,216.1731922
25591,254.2846092,215.2194209,25591,217.1561693,216.0152322
25691,254.7347005,216.5760219,25691,218.7483089,218.5692719
25748,254.2514389,216.3756982,25748,221.0814291,217.7699744
25848,253.2773906,216.1094022,25848,221.0432774,216.9585271
25905,252.8199961,215.2761231,25905,219.3339017,215.122144
26005,251.858547,214.9854813,26005,215.5551463,214.5716562
26062,251.24004,215.9687508,26062,215.7215126,216.6209602
26162,249.4240942,217.3763526,26162,218.5661872,219.305722
26219,249.8442565,215.7674878,26219,216.4353503,215.7021185
26319,247.525703,216.3701534,26319,214.9111037,216.9205236
26376,245.7361119,215.1608374,26376,212.8738018,214.3918174
26476,245.414286,216.1765194,26476,212.1966458,216.5769854
26533,244.7909024,215.7833105,26533,214.277977,215.7104744
26633,243.9434863,214.7240468,26633,213.4129059,213.6065143
26690,243.6125563,215.1823489,26690,212.6981653,214.746625
26790,244.5274756,215.0220196,26790,212.1047878,214.5131112
26847,244.5647396,214.7324535,26847,210.4643966,214.0357605
26947,243.9674774,215.2085947,26947,211.5045098,215.1273816
27004,244.1367865,214.5762774,27004,212.1500678,213.8789897
27104,244.5811629,214.4446507,27104,212.2246899,213.7551937
27161,243.4683012,214.3807734,27161,213.8634311,213.7653305
27261,243.0493275,214.3223042,27261,212.5653207,213.7714807
27318,244.4589211,213.3700802,27318,210.0287458,211.9771974
27418,243.6568614,212.7498858,27418,209.1190568,211.0153852
27475,243.4476999,212.630955,27475,207.9503846,211.1244237
27575,241.3978411,212.7028464,27575,209.0993824,211.5695127
27632,241.0226322,211.0186701,27632,210.7758682,208.4278269
27732,240.5032166,211.0166719,27732,210.550498,208.9419991
27789,240.7308872,211.611161,27789,213.6300224,210.5459119
27889,240.2805524,211.4904578,27889,221.9017505,210.5175553
27946,240.1995217,211.9236508,27946,222.6286636,211.5785218
28046,239.8736857,212.9472449,28046,221.720512,213.6947358
28103,239.8787701,212.9402981,28103,222.065521,213.531344
28203,240.0534099,213.6000021,28203,220.1884245,214.7325429
28260,238.8714545,215.4896387,28260,218.9947276,218.285308
28360,237.864465,216.1270778,28360,216.8127193,219.0010522
28417,238.2510471,216.391967,28417,214.8253342,218.9560358
28517,238.3839151,216.6974221,28517,214.0181989,219.0541323
28574,239.4524953,216.1905065,28574,215.0568198,217.5689589
28674,240.1554056,217.4891896,28674,215.2393493,219.8906346
28731,240.1017272,216.5369869,28731,215.2666931,217.5059403
28831,242.5856463,216.6654568,28831,216.7113098,217.5690894
28888,246.3823032,215.6967459,28888,214.5827594,215.4509411
28988,251.5969873,215.9354148,28988,213.6023922,215.9774399
29045,253.5826591,215.0726885,29045,214.8024185,214.2435822
29145,256.9283452,215.7548666,29145,213.3273474,215.7737598
29202,263.4190556,216.319622,29202,212.2488774,216.8994918
29302,264.0784898,215.6341487,29302,212.200402,215.4125713
29359,270.6209063,216.0194781,29359,212.3789251,216.2275455
29459,268.7613532,216.0820658,29459,214.9549284,216.3111074
29516,270.8601843,215.1036672,29516,215.4196617,214.308502
29616,271.808782,214.8959479,29616,214.7942896,214.0520964
29673,273.3968735,213.7249459,29673,213.3189033,211.8788628
29773,273.1451256,214.2917931,29773,211.0865375,213.3817737
29830,272.9388986,214.15048,29830,219.6956826,213.2811514
29930,271.274568,213.7979564,29930,228.2535371,212.7499699
29987,273.467323,212.9497358,29987,225.7838813,211.263126
30087,275.6654943,213.8310546,30087,223.2803124,213.3630856
30144,274.234745,218.4242004,30144,221.9154822,222.6429709
30244,274.6489353,218.1802148,30244,221.930689,221.3112456
